,Type,Date,Num,Memo,Name,Qty,Sales Price,Amount,Balance
Parts,,,,,,,,,
MTRLS (Materials Supplied),,,,,,,,,
,Invoice,2/1/2022,261JAN22,Materials Supplied,Mayborn,1,14546.46,14546.46,14546.46
,Invoice,2/1/2022,262JAN22,Materials Supplied,Mayborn,1,43.89,43.89,14590.35
,Invoice,2/2/2022,958,Standard Pallet 48x40,400 Joseph Joseph,1,23287,23287,37877.35
,Invoice,2/3/2022,879,Materials Supplied,314 Liquid Death,1,0,0,37877.35
,Invoice,2/3/2022,888,Materials Supplied,307 Merritt,1,0,0,37877.35
,Invoice,2/3/2022,890,Materials Supplied,416 Imerys,1,0,0,37877.35
,Invoice,2/3/2022,895,Materials Supplied,428 Ten Acre Gifts,1,0,0,37877.35
,Invoice,2/3/2022,301JAN22,Materials Supplied,301 GRANADA TILE,1,162.69,162.69,38040.04
,Invoice,2/3/2022,313JAN22,Materials Supplied,313 Logo Brand DSG,1,367.5,367.5,38407.54
,Invoice,2/3/2022,066JAN22,Materials Supplied,66 Katzkin,1,0,0,38407.54
,Invoice,2/3/2022,273JAN22,Materials Supplied,273 LZ Selloff,1,0,0,38407.54
,Invoice,2/3/2022,292JAN22,Materials Supplied,292 Bioriginal,1,43.5,43.5,38451.04
,Invoice,2/3/2022,965,Materials Supplied,425 Lucky Zone WM,1,1145.5,1145.5,39596.54
,Invoice,2/4/2022,046JAN22,Materials Supplied,Omya Specialty Materials Inc.,1,1008.86,1008.86,40605.4
,Invoice,2/4/2022,098JAN22,Materials Supplied,98 - CGPC America Corporation,1,5483.2,5483.2,46088.6
,Invoice,2/4/2022,086JAN22,Materials Supplied,"86, Morbern",1,464,464,46552.6
,Invoice,2/4/2022,223JAN22,Materials Supplied,223 Distrilogik US Ltd,1,4707.5,4707.5,51260.1
,Invoice,2/4/2022,244JAN22,Materials Supplied,244 Doyle Farris,1,0,0,51260.1
,Invoice,2/4/2022,291JAN22,Materials Supplied,Omya Specialty Materials Inc.,1,0,0,51260.1
,Invoice,2/4/2022,307JAN22,Materials Supplied,307 Merritt,1,-8,-8,51252.1
,Invoice,2/4/2022,041JAN22,Materials Supplied,"41, Keyston Bros.",1,838.22,838.22,52090.32
,Invoice,2/4/2022,012JAN22,Materials Supplied,"12, Omnova Solutions Inc. (C)",1,246.5,246.5,52336.82
,Invoice,2/4/2022,073JAN22,Materials Supplied,"73, Spradling International Inc",1,594.5,594.5,52931.32
,Invoice,2/4/2022,076JAN22,Materials Supplied,"76, Divi's Laboratories, Ltd. USA Inc.",1,435,435,53366.32
,Invoice,2/4/2022,087JAN22,Materials Supplied,"87, Martin Bauer",1,14.5,14.5,53380.82
,Invoice,2/4/2022,091JAN22,Materials Supplied,"91, BenchMaster Furniture",1,261,261,53641.82
,Invoice,2/4/2022,170JAN22,Materials Supplied,"170, Pacific Crest Trading Group",1,1377.5,1377.5,55019.32
,Invoice,2/4/2022,959,Materials Supplied,412 Shugar Soapworks,1,0,0,55019.32
,Invoice,2/7/2022,136JAN22,Materials Supplied,136 Glory Wisdom,1,3.75,3.75,55023.07
,Invoice,2/7/2022,269JAN22,Materials Supplied,269 Nassimi,1,884.5,884.5,55907.57
,Invoice,2/7/2022,325JAN22,Materials Supplied,325 TR Nutritionals,1,314.5,314.5,56222.07
,Invoice,2/7/2022,072JAN22,Materials Supplied,"72, Crossroad Ingredients",1,1612.25,1612.25,57834.32
,Invoice,2/7/2022,099JAN22,Materials Supplied,"99, Azile LLC",1,0,0,57834.32
,Invoice,2/7/2022,116JAN22,Materials Supplied,"116, Layn USA",1,235,235,58069.32
,Invoice,2/7/2022,143JAN22,Materials Supplied,"143, Barentz",1,29,29,58098.32
,Invoice,2/7/2022,205JAN22,Materials Supplied,205 - Pacific Shaving,1,157.99,157.99,58256.31
,Invoice,2/7/2022,302JAN22,Materials Supplied,302 Huisong,1,168,168,58424.31
,Invoice,2/7/2022,317JAN22,Materials Supplied,317 Pair,1,0,0,58424.31
,Invoice,2/7/2022,322JAN22,Materials Supplied,322 Teco Irrigation USA,1,0,0,58424.31
,Invoice,2/7/2022,045JAN22,Materials Supplied,"45, Sensus America",1,4.7,4.7,58429.01
,Invoice,2/7/2022,324JAN22,Materials Supplied,324 Barrington Nutritionals,1,193,193,58622.01
,Invoice,2/7/2022,053JAN22,Materials Supplied,"53, Harten Corporation",1,148.5,148.5,58770.51
,Invoice,2/7/2022,887,Materials Supplied,413 UPPER CRUST,1,0,0,58770.51
,Invoice,2/7/2022,877,Materials Supplied,"120, Designer Pet Products",1,29,29,58799.51
