Voucher #,Date,Contact ID,Vendor,Terms,Due Date,Responsible,Ref #,P.O. #,Receipt,Other 1,Line,Item ID,Description,Quantity,U/M,Price,Tax,Amount,Taxes,Total,Currency,Exchange rate,Total base,Account,Group,Tag,Memo,Inventory Location,Comments,Attachments,Approvers,Status,Approval Status,Transfer Status,Created by,Date created,Last Modified by,Date Last Modified
239702,8/31/2022,Lyneer Staffing,Lyneer Staffing,,8/31/2022,Accounts Payable Accounts Payable,16107-WE-08-31-22,,,,1,Temp Labor - Regular,Temp Labor - Regular,1,Temp Labor,3271.42,Yes,3271.42,0,3271.42,None,1,3271.42,56110 - Temp Labor - Reg,105 - 1st Shift - Warehouse - Westset,16107 - Location - 16107 Commerce Way - Cerritos,161.39,,,Lyneer - Invoice # 239702 - 08-31-22.pdf (https://secure.spendwise.com/attachments/XePeRAxHGAbpMmcqdeUCohoRAj),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/21/2022,Accounts Payable Accounts Payable,9/21/2022
0676-004929141,8/31/2022,Republic Services,Republic Services,Net 30,9/30/2022,Accounts Payable Accounts Payable,210,,,,1,Utilities,"Electric, Trash, Water, Etc.",1,Misc. Purchase & Service,1326.5,Yes,1326.5,0,1326.5,None,1,1326.5,"66560 - Trash, Water, Etc.",100.2 - Warehouse & Log - 14041,210 - Location - 210 E. Lambert Road,,,,Republic Services - Invoice # 0678-004929141 - 08-31-2022.pdf (https://secure.spendwise.com/attachments/SUhblzKXHGIKKolhCLAXSlQrsh),,Saved,none,Not transferred,Accounts Payable Accounts Payable,9/20/2022,Accounts Payable Accounts Payable,9/20/2022
0676-004931067,8/31/2022,Republic Services,Republic Services,Net 30,9/30/2022,Accounts Payable Accounts Payable,210,,,,1,Utilities,"Electric, Trash, Water, Etc.",1,Misc. Purchase & Service,621.34,Yes,621.34,0,621.34,None,1,621.34,"66560 - Trash, Water, Etc.",100.2 - Warehouse & Log - 14041,210 - Location - 210 E. Lambert Road,,,,,,Saved,none,Not transferred,Accounts Payable Accounts Payable,9/20/2022,Accounts Payable Accounts Payable,9/20/2022
37238,8/31/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/30/2022,Accounts Payable Accounts Payable,CG-9278-51530-B2,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,2.5,Labor - Hours,121.5,No,303.75,,303.75,None,1,303.75,51530 - Forklift - Scheduled Maintenance,100.2 - Warehouse & Log - 14041,70200 - Forklift - B2 - Sitdown,,,Scheduled Maintenance:,Gold Standard - Invoice # 37238 - 08-31-22.pdf (https://secure.spendwise.com/attachments/CEArZMqnGRLqNflCCdRMgjZone); Gold Standard - Invoice # 37238 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/iiKglMJxswzlXzljQvBmbqkuMu),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Carlos Garcia,9/22/2022
37238,8/31/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/30/2022,Accounts Payable Accounts Payable,CG-9278-51530-B2,,,,2,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Parts,681.1,Yes,681.1,52.78525,733.88525,None,1,733.88525,51530 - Forklift - Scheduled Maintenance,100.2 - Warehouse & Log - 14041,70200 - Forklift - B2 - Sitdown,,,Scheduled Maintenance:,Gold Standard - Invoice # 37238 - 08-31-22.pdf (https://secure.spendwise.com/attachments/CEArZMqnGRLqNflCCdRMgjZone); Gold Standard - Invoice # 37238 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/iiKglMJxswzlXzljQvBmbqkuMu),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Carlos Garcia,9/22/2022
37238,8/31/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/30/2022,Accounts Payable Accounts Payable,CG-9278-51530-B2,,,,3,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,303.75,Fuel Surcharge,0.1,Yes,30.375,2.3540625,32.7290625,None,1,32.7290625,51530 - Forklift - Scheduled Maintenance,100.2 - Warehouse & Log - 14041,70200 - Forklift - B2 - Sitdown,,,Scheduled Maintenance:,Gold Standard - Invoice # 37238 - 08-31-22.pdf (https://secure.spendwise.com/attachments/CEArZMqnGRLqNflCCdRMgjZone); Gold Standard - Invoice # 37238 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/iiKglMJxswzlXzljQvBmbqkuMu),Carlos Garcia (09/22/2022),Saved,approved,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Carlos Garcia,9/22/2022
37493,8/31/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/30/2022,Accounts Payable Accounts Payable,PR-B28-61030,,,,1,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1.5,Labor - Hours,121.5,No,182.25,,182.25,None,1,182.25,51520 - Forklift - Repair,100.2 - Warehouse & Log - 14041,23963 - Forklift - B28 - Toyota-Sitdown-Propane-8FGCU25,,,,Gold Standard - Invoice # 37493 - 08-31-22.pdf (https://secure.spendwise.com/attachments/HgsiCZfVUTjpZvTeDIrEDquSao); Gold Standard - Invoice # 37493 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/ydHTQrxDmGckeEPPlYNAGlYQos),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Accounts Payable Accounts Payable,9/13/2022
37493,8/31/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/30/2022,Accounts Payable Accounts Payable,PR-B28-61030,,,,2,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,182.25,Fuel Surcharge,0.1,Yes,18.225,1.4124375,19.6374375,None,1,19.6374375,51520 - Forklift - Repair,100.2 - Warehouse & Log - 14041,23963 - Forklift - B28 - Toyota-Sitdown-Propane-8FGCU25,,,,Gold Standard - Invoice # 37493 - 08-31-22.pdf (https://secure.spendwise.com/attachments/HgsiCZfVUTjpZvTeDIrEDquSao); Gold Standard - Invoice # 37493 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/ydHTQrxDmGckeEPPlYNAGlYQos),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Accounts Payable Accounts Payable,9/13/2022
37493,8/31/2022,Gold Standard Service Corp.,Gold Standard Service Corp.,Net 30,9/30/2022,Accounts Payable Accounts Payable,PR-B28-61030,,,,3,Forklift - Scheduled Maintenance,Forklift - Scheduled Maintenance,1,Parts,265.13,Yes,265.13,20.547575,285.677575,None,1,285.677575,51520 - Forklift - Repair,100.2 - Warehouse & Log - 14041,23963 - Forklift - B28 - Toyota-Sitdown-Propane-8FGCU25,,,,Gold Standard - Invoice # 37493 - 08-31-22.pdf (https://secure.spendwise.com/attachments/HgsiCZfVUTjpZvTeDIrEDquSao); Gold Standard - Invoice # 37493 - 08-31-22 - Backup.pdf (https://secure.spendwise.com/attachments/ydHTQrxDmGckeEPPlYNAGlYQos),Luis Serrano (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Accounts Payable Accounts Payable,9/13/2022
08312022-CERRITOS,8/31/2022,AFL Logistics LLC,AFL Logistics LLC,Net 30,9/30/2022,Accounts Payable Accounts Payable,16107-WE-08-31-22,,,,1,Temp Labor - Unloading,Temp Labor - Unloading ,1,Temp Labor,1520,No,1520,,1520,None,1,1520,56180 - Temp Labor - Unloading,100.2 - Warehouse & Log - 14041,16107 - Location - 16107 Commerce Way - Cerritos,5,,,AFL - Invoice # 08312022 - 8-31-22 - Cerritos.pdf (https://secure.spendwise.com/attachments/cibVonsLJcqoLwRDNwjIAgpzsn),Frank Guzman (pending),Saved,pending,Not transferred,Accounts Payable Accounts Payable,9/13/2022,Accounts Payable Accounts Payable,9/13/2022
